m_val,a_val,z_val,mass
-2,0,0.8,1.16774e-06
-1.99956,0,0.8,2.03747e-08
-1.99646,0,0.8,4.72862e-08
-1.98807,0,0.8,5.57984e-08
-1.97171,0,0.8,7.48142e-08
-1.94475,0,0.8,8.73919e-08
-1.90453,0,0.8,1.12484e-07
-1.8484,0,0.8,1.19774e-07
-1.7737,0,0.8,1.33712e-07
-1.67779,0,0.8,1.36396e-07
-1.55801,0,0.8,1.24992e-07
-1.41171,0,0.8,1.03103e-07
-1.23624,0,0.8,7.45449e-08
-1.02894,0,0.8,3.85717e-08
-0.787172,0,0.8,2.83964e-09
-2,0.0657462,0.8,8.86177e-07
-1.99956,0.0657462,0.8,1.55033e-08
-1.99646,0.0657462,0.8,3.6032e-08
-1.98807,0.0657462,0.8,4.21513e-08
-1.97171,0.0657462,0.8,5.69836e-08
-1.94475,0.0657462,0.8,6.6036e-08
-1.90453,0.0657462,0.8,8.60104e-08
-1.8484,0.0657462,0.8,8.74132e-08
-1.7737,0.0657462,0.8,9.98255e-08
-1.67779,0.0657462,0.8,1.04305e-07
-1.55801,0.0657462,0.8,1.00822e-07
-1.41171,0.0657462,0.8,8.76032e-08
-1.23624,0.0657462,0.8,7.27856e-08
-1.02894,0.0657462,0.8,5.43736e-08
-0.787172,0.0657462,0.8,2.73633e-08
-2,0.262985,0.8,0.0179485
-1.99956,0.262985,0.8,0.000362127
-1.99646,0.262985,0.8,0.000723568
-1.98807,0.262985,0.8,0.000908598
-1.97171,0.262985,0.8,0.00120633
-1.94475,0.262985,0.8,0.001415
-1.90453,0.262985,0.8,0.00181706
-1.8484,0.262985,0.8,0.00195761
-1.7737,0.262985,0.8,0.00219998
-1.67779,0.262985,0.8,0.00227244
-1.55801,0.262985,0.8,0.00213714
-1.41171,0.262985,0.8,0.00182114
-1.23624,0.262985,0.8,0.00141885
-1.02894,0.262985,0.8,0.000903501
-0.787172,0.262985,0.8,0.000382622
-0.508275,0.262985,0.8,2.13814e-05
-2,0.591716,0.8,0.00599372
-1.99956,0.591716,0.8,0.000123623
-1.99646,0.591716,0.8,0.000238539
-1.98807,0.591716,0.8,0.000303806
-1.97171,0.591716,0.8,0.000402403
-1.94475,0.591716,0.8,0.000471946
-1.90453,0.591716,0.8,0.000605684
-1.8484,0.591716,0.8,0.000652667
-1.7737,0.591716,0.8,0.000733223
-1.67779,0.591716,0.8,0.000756811
-1.55801,0.591716,0.8,0.000711935
-1.41171,0.591716,0.8,0.000605406
-1.23624,0.591716,0.8,0.000470652
-1.02894,0.591716,0.8,0.000298438
-0.787172,0.591716,0.8,0.000125007
-0.508275,0.591716,0.8,6.13384e-06
-2,100,0.8,0.213909
-1.99956,100,0.8,0.00392226
-1.99646,100,0.8,0.00907416
-1.98807,100,0.8,0.0107712
-1.97171,100,0.8,0.0144405
-1.94475,100,0.8,0.0169481
-1.90453,100,0.8,0.0218162
-1.8484,100,0.8,0.023484
-1.7737,100,0.8,0.0264295
-1.67779,100,0.8,0.0273804
-1.55801,100,0.8,0.0257212
-1.41171,100,0.8,0.022103
-1.23624,100,0.8,0.0173694
-1.02894,100,0.8,0.0112466
