t,dr_m,dY,dC,dC_direct,dC_indirect
0,0.01,-0.00384798,-0.00384798,-0.00313676,-0.00071122
1,0.008,-0.00495079,-0.00495079,-0.00373758,-0.00121321
2,0.0064,-0.00564488,-0.00564488,-0.00396475,-0.00168013
3,0.00512,-0.00607798,-0.00607798,-0.00397156,-0.00210642
4,0.004096,-0.00634081,-0.00634081,-0.00384988,-0.00249093
5,0.0032768,-0.00649962,-0.00649962,-0.00366214,-0.00283747
6,0.00262144,-0.00660136,-0.00660136,-0.00344881,-0.00315255
7,0.00209715,-0.00664982,-0.00664982,-0.00321575,-0.00343407
8,0.00167772,-0.00665492,-0.00665492,-0.00297317,-0.00368175
9,0.00134218,-0.00662836,-0.00662836,-0.00273132,-0.00389705
10,0.00107374,-0.00657835,-0.00657835,-0.00249653,-0.00408182
11,0.000858993,-0.00651064,-0.00651064,-0.00227253,-0.00423811
12,0.000687195,-0.00642961,-0.00642961,-0.00206151,-0.0043681
13,0.000549756,-0.00633869,-0.00633869,-0.00186465,-0.00447404
14,0.000439805,-0.00624061,-0.00624061,-0.00168245,-0.00455815
15,0.000351844,-0.00613748,-0.00613748,-0.0015149,-0.00462258
16,0.000281475,-0.00603098,-0.00603098,-0.00136162,-0.00466937
17,0.00022518,-0.00592239,-0.00592239,-0.001222,-0.0047004
18,0.000180144,-0.0058127,-0.0058127,-0.00109527,-0.00471742
19,0.000144115,-0.00570266,-0.00570266,-0.000980601,-0.00472206
20,0.000115292,-0.00559288,-0.00559288,-0.0008771,-0.00471578
21,9.22337e-05,-0.00548378,-0.00548378,-0.00078388,-0.0046999
22,7.3787e-05,-0.00537571,-0.00537571,-0.000700073,-0.00467563
23,5.90296e-05,-0.00526891,-0.00526891,-0.000624846,-0.00464406
24,4.72237e-05,-0.00516357,-0.00516357,-0.000557411,-0.00460616
25,3.77789e-05,-0.00505984,-0.00505984,-0.000497029,-0.00456281
26,3.02231e-05,-0.00495779,-0.00495779,-0.000443016,-0.00451477
27,2.41785e-05,-0.0048575,-0.0048575,-0.000394741,-0.00446276
28,1.93428e-05,-0.004759,-0.004759,-0.000351625,-0.00440738
29,1.54743e-05,-0.00466233,-0.00466233,-0.000313141,-0.00434919
30,1.23794e-05,-0.00456748,-0.00456748,-0.00027881,-0.00428867
31,9.90352e-06,-0.00447446,-0.00447446,-0.000248198,-0.00422627
32,7.92282e-06,-0.00438326,-0.00438326,-0.000220913,-0.00416235
33,6.33825e-06,-0.00429386,-0.00429386,-0.000196601,-0.00409726
34,5.0706e-06,-0.00420623,-0.00420623,-0.000174946,-0.00403129
35,4.05648e-06,-0.00412036,-0.00412036,-0.000155662,-0.0039647
36,3.24519e-06,-0.00403622,-0.00403622,-0.000138492,-0.00389773
37,2.59615e-06,-0.00395378,-0.00395378,-0.000123209,-0.00383057
38,2.07692e-06,-0.00387301,-0.00387301,-0.000109606,-0.00376341
39,1.66153e-06,-0.00379388,-0.00379388,-9.75006e-05,-0.00369638
40,1.32923e-06,-0.00371637,-0.00371637,-8.67292e-05,-0.00362964
41,1.06338e-06,-0.00364043,-0.00364043,-7.71457e-05,-0.00356328
42,8.50706e-07,-0.00356604,-0.00356604,-6.86197e-05,-0.00349742
43,6.80565e-07,-0.00349317,-0.00349317,-6.1035e-05,-0.00343213
44,5.44452e-07,-0.00342178,-0.00342178,-5.42881e-05,-0.00336749
45,4.35561e-07,-0.00335186,-0.00335186,-4.82866e-05,-0.00330357
46,3.48449e-07,-0.00328336,-0.00328336,-4.29484e-05,-0.00324041
47,2.78759e-07,-0.00321626,-0.00321626,-3.82004e-05,-0.00317806
48,2.23007e-07,-0.00315054,-0.00315054,-3.39773e-05,-0.00311656
49,1.78406e-07,-0.00308616,-0.00308616,-3.02212e-05,-0.00305594
50,1.42725e-07,-0.00302309,-0.00302309,-2.68805e-05,-0.00299621
51,1.1418e-07,-0.00296132,-0.00296132,-2.39093e-05,-0.00293741
52,9.13439e-08,-0.00290081,-0.00290081,-2.12666e-05,-0.00287954
53,7.30751e-08,-0.00284153,-0.00284153,-1.89162e-05,-0.00282261
54,5.84601e-08,-0.00278347,-0.00278347,-1.68258e-05,-0.00276664
55,4.67681e-08,-0.00272659,-0.00272659,-1.49665e-05,-0.00271162
56,3.74144e-08,-0.00267088,-0.00267088,-1.33128e-05,-0.00265756
57,2.99316e-08,-0.0026163,-0.0026163,-1.1842e-05,-0.00260446
58,2.39452e-08,-0.00256284,-0.00256284,-1.05338e-05,-0.00255231
59,1.91562e-08,-0.00251047,-0.00251047,-9.37021e-06,-0.0025011
60,1.5325e-08,-0.00245918,-0.00245918,-8.33527e-06,-0.00245084
61,1.226e-08,-0.00240893,-0.00240893,-7.41472e-06,-0.00240151
62,9.80797e-09,-0.00235971,-0.00235971,-6.59592e-06,-0.00235311
63,7.84638e-09,-0.00231149,-0.00231149,-5.8676e-06,-0.00230562
64,6.2771e-09,-0.00226426,-0.00226426,-5.21977e-06,-0.00225904
65,5.02168e-09,-0.002218,-0.002218,-4.64352e-06,-0.00221335
66,4.01735e-09,-0.00217268,-0.00217268,-4.13093e-06,-0.00216855
67,3.21388e-09,-0.00212828,-0.00212828,-3.67497e-06,-0.00212461
68,2.5711e-09,-0.0020848,-0.0020848,-3.26938e-06,-0.00208153
69,2.05688e-09,-0.0020422,-0.0020422,-2.90858e-06,-0.00203929
70,1.6455e-09,-0.00200047,-0.00200047,-2.58763e-06,-0.00199788
71,1.3164e-09,-0.0019596,-0.0019596,-2.30212e-06,-0.0019573
72,1.05312e-09,-0.00191956,-0.00191956,-2.04813e-06,-0.00191751
73,8.42498e-10,-0.00188034,-0.00188034,-1.82219e-06,-0.00187852
74,6.73999e-10,-0.00184192,-0.00184192,-1.62119e-06,-0.0018403
75,5.39199e-10,-0.00180428,-0.00180428,-1.44238e-06,-0.00180284
76,4.31359e-10,-0.00176742,-0.00176742,-1.28331e-06,-0.00176613
77,3.45087e-10,-0.00173131,-0.00173131,-1.14179e-06,-0.00173016
78,2.7607e-10,-0.00169593,-0.00169593,-1.0159e-06,-0.00169492
79,2.20856e-10,-0.00166128,-0.00166128,-9.03892e-07,-0.00166038
80,1.76685e-10,-0.00162734,-0.00162734,-8.04248e-07,-0.00162653
81,1.41348e-10,-0.00159409,-0.00159409,-7.15599e-07,-0.00159337
82,1.13078e-10,-0.00156152,-0.00156152,-6.36731e-07,-0.00156088
83,9.04626e-11,-0.00152961,-0.00152961,-5.66564e-07,-0.00152904
84,7.23701e-11,-0.00149836,-0.00149836,-5.04138e-07,-0.00149785
85,5.7896e-11,-0.00146774,-0.00146774,-4.48598e-07,-0.00146729
86,4.63168e-11,-0.00143775,-0.00143775,-3.99185e-07,-0.00143735
87,3.70535e-11,-0.00140838,-0.00140838,-3.55223e-07,-0.00140802
88,2.96428e-11,-0.0013796,-0.0013796,-3.16109e-07,-0.00137928
89,2.37142e-11,-0.00135141,-0.00135141,-2.8131e-07,-0.00135113
90,1.89714e-11,-0.0013238,-0.0013238,-2.50348e-07,-0.00132355
91,1.51771e-11,-0.00129675,-0.00129675,-2.22801e-07,-0.00129653
92,1.21417e-11,-0.00127026,-0.00127026,-1.98292e-07,-0.00127006
93,9.71334e-12,-0.0012443,-0.0012443,-1.76485e-07,-0.00124413
94,7.77068e-12,-0.00121888,-0.00121888,-1.57083e-07,-0.00121872
95,6.21654e-12,-0.00119398,-0.00119398,-1.39821e-07,-0.00119384
96,4.97323e-12,-0.00116958,-0.00116958,-1.24462e-07,-0.00116946
97,3.97859e-12,-0.00114568,-0.00114568,-1.10796e-07,-0.00114557
98,3.18287e-12,-0.00112227,-0.00112227,-9.86368e-08,-0.00112218
99,2.54629e-12,-0.00109934,-0.00109934,-8.78183e-08,-0.00109926
