m_val,a_val,dC_dr
-2,0,0
-1.99956,0,0
-1.99646,0,0
-1.98807,0,0
-1.97171,0,-0.0112756
-1.94475,0,-0.0101743
-1.90453,0,-0.00709543
-1.8484,0,-0.00595467
-1.7737,0,-0.00464885
-1.67779,0,-0.00375688
-1.55801,0,-0.00260716
-1.41171,0,-0.0020965
-1.23624,0,-0.00165392
-1.02894,0,-0.00126763
-0.787172,0,-0.000912303
-0.508275,0,-0.000619491
-0.189598,0,-0.000346082
0.17151,0,-8.74606e-05
0.577701,0,0.000175775
1.03163,0,0.000405123
1.53594,0,0.000642451
2.09329,0,0.000877201
2.70634,0,0.00111168
3.37773,0,0.00134784
4.11011,0,0.00158741
4.90614,0,0.00183185
5.76846,0,0.0020825
6.69974,0,0.00234053
7.70262,0,0.00260703
8.77976,0,0.00288298
9.9338,0,0.0031693
11.1674,0,0.00346686
12.4832,0,0.00377648
13.8839,0,0.00409894
15.3721,0,0.00443499
16.9504,0,0.00478536
18.6216,0,0.00515077
20.3883,0,0.00553191
22.253,0,0.00592948
24.2186,0,0.00634415
26.2875,0,0.00677659
28.4626,0,0.00722746
30.7464,0,0.00769743
33.1415,0,0.00818715
35.6507,0,0.00869728
38.2766,0,0.00922845
41.0218,0,0.00978133
43.889,0,0.0103565
46.8809,0,0.0109548
50,0,0.0115766
-2,0.0657462,0
-1.99956,0.0657462,0
-1.99646,0.0657462,0
-1.98807,0.0657462,0
-1.97171,0.0657462,-0.0112737
-1.94475,0.0657462,-0.010172
-1.90453,0.0657462,-0.00709299
-1.8484,0.0657462,-0.00595203
-1.7737,0.0657462,-0.00464622
-1.67779,0.0657462,-0.00365706
-1.55801,0.0657462,-0.00297603
-1.41171,0.0657462,-0.00209124
-1.23624,0.0657462,-0.00165555
-1.02894,0.0657462,-0.00127671
-0.787172,0.0657462,-0.000940102
-0.508275,0.0657462,-0.000634412
-0.189598,0.0657462,-0.000352748
0.17151,0.0657462,-8.87986e-05
0.577701,0.0657462,0.000162475
1.03163,0.0657462,0.000405123
1.53594,0.0657462,0.000642449
2.09329,0.0657462,0.000877195
2.70634,0.0657462,0.00111167
3.37773,0.0657462,0.00134783
4.11011,0.0657462,0.00158739
4.90614,0.0657462,0.00183183
5.76846,0.0657462,0.00208247
6.69974,0.0657462,0.0023405
7.70262,0.0657462,0.00260699
8.77976,0.0657462,0.00288294
9.9338,0.0657462,0.00316926
11.1674,0.0657462,0.00346682
12.4832,0.0657462,0.00377643
13.8839,0.0657462,0.00409889
15.3721,0.0657462,0.00443493
16.9504,0.0657462,0.0047853
18.6216,0.0657462,0.00515071
20.3883,0.0657462,0.00553186
22.253,0.0657462,0.00592942
24.2186,0.0657462,0.00634409
26.2875,0.0657462,0.00677653
28.4626,0.0657462,0.0072274
30.7464,0.0657462,0.00769737
33.1415,0.0657462,0.00818709
35.6507,0.0657462,0.00869721
38.2766,0.0657462,0.00922839
41.0218,0.0657462,0.00978127
43.889,0.0657462,0.0103565
46.8809,0.0657462,0.0109547
50,0.0657462,0.0115765
-2,0.262985,0
-1.99956,0.262985,0
-1.99646,0.262985,0
-1.98807,0.262985,0
-1.97171,0.262985,-0.0112741
-1.94475,0.262985,-0.0102127
-1.90453,0.262985,-0.0071026
-1.8484,0.262985,-0.00597596
-1.7737,0.262985,-0.00466078
-1.67779,0.262985,-0.00376892
-1.55801,0.262985,-0.00261681
-1.41171,0.262985,-0.00210666
