time,top10,bottom50,debtors,aggregate
0,-0.000946548,-0.00220268,-0.00193879,-0.00384798
1,-0.000902955,-0.00192978,-0.00172513,-0.00495079
2,-0.000853439,-0.00169462,-0.00153671,-0.00564488
3,-0.000804318,-0.00149555,-0.00137461,-0.00607798
4,-0.000758511,-0.0013288,-0.00123715,-0.00634081
5,-0.000717861,-0.0011908,-0.00112241,-0.00649962
6,-0.000683372,-0.00107813,-0.00102825,-0.00660136
7,-0.000653217,-0.000985051,-0.000949869,-0.00664982
8,-0.000626473,-0.00090757,-0.000884032,-0.00665492
9,-0.000602694,-0.000842843,-0.000828513,-0.00662836
10,-0.000581432,-0.000788486,-0.000781423,-0.00657835
11,-0.000562266,-0.00074252,-0.000741176,-0.00651064
12,-0.000544843,-0.000703342,-0.00070648,-0.00642961
13,-0.000528874,-0.000669664,-0.000676297,-0.00633869
14,-0.000514126,-0.000640451,-0.000649794,-0.00624061
15,-0.000500409,-0.000614874,-0.000626299,-0.00613748
16,-0.000487567,-0.000592263,-0.000605271,-0.00603098
17,-0.000475474,-0.00057208,-0.000586274,-0.00592239
18,-0.000464023,-0.000553891,-0.000568954,-0.0058127
19,-0.000453128,-0.000537345,-0.000553027,-0.00570266
20,-0.000442719,-0.00052216,-0.000538262,-0.00559288
21,-0.000432737,-0.000508107,-0.000524472,-0.00548378
22,-0.000423132,-0.000495004,-0.000511507,-0.00537571
23,-0.000413866,-0.0004827,-0.000499244,-0.00526891
24,-0.000404904,-0.000471075,-0.000487583,-0.00516357
25,-0.00039622,-0.000460033,-0.000476444,-0.00505984
26,-0.000387789,-0.000449492,-0.000465761,-0.00495779
27,-0.000379593,-0.00043939,-0.00045548,-0.0048575
28,-0.000371615,-0.000429673,-0.000445558,-0.004759
29,-0.000363841,-0.000420299,-0.000435957,-0.00466233
30,-0.00035626,-0.000411232,-0.000426649,-0.00456748
31,-0.00034886,-0.000402444,-0.000417608,-0.00447446
32,-0.000341634,-0.00039391,-0.000408815,-0.00438326
33,-0.000334574,-0.000385611,-0.000400251,-0.00429386
34,-0.000327673,-0.000377531,-0.000391904,-0.00420623
35,-0.000320925,-0.000369654,-0.000383759,-0.00412036
36,-0.000314324,-0.00036197,-0.000375807,-0.00403622
37,-0.000307866,-0.000354469,-0.000368039,-0.00395378
38,-0.000301547,-0.000347141,-0.000360447,-0.00387301
