m_idx,a_idx,z_idx,m_val,a_val,z_val,c,m_prime,a_prime,adjust_flag
0,0,0,-2,0,0.8,0.78,-2,0,0
1,0,0,-1.99956,0,0.8,0.780446,-2,0,0
2,0,0,-1.99646,0,0.8,0.783571,-2,0,0
3,0,0,-1.98807,0,0.8,0.792053,-2,0,0
4,0,0,-1.97171,0,0.8,0.80712,-1.99855,0,0
5,0,0,-1.94475,0,0.8,0.820488,-1.98469,0,0
6,0,0,-1.90453,0,0.8,0.837353,-1.96093,0,0
7,0,0,-1.8484,0,0.8,0.854683,-1.92156,0,0
8,0,0,-1.7737,0,0.8,0.873587,-1.86502,0,0
9,0,0,-1.67779,0,0.8,0.893547,-1.78811,0,0
10,0,0,-1.55801,0,0.8,0.914574,-1.68816,0,0
11,0,0,-1.41171,0,0.8,0.936572,-1.5624,0,0
12,0,0,-1.23624,0,0.8,0.959422,-1.40802,0,0
13,0,0,-1.02894,0,0.8,0.983006,-1.22224,0,0
14,0,0,-0.787172,0,0.8,1.0073,-1.00234,0,0
15,0,0,-0.508275,0,0.8,1.03222,-0.745577,0,0
16,0,0,-0.189598,0,0.8,1.0577,-0.449191,0,0
17,0,0,0.17151,0,0.8,1.08408,-0.110852,0,0
18,0,0,0.577701,0,0.8,1.11137,0.272111,0,0
19,0,0,1.03163,0,0.8,1.13469,0.555054,0.0657462,1
20,0,0,1.53594,0,0.8,1.16482,1.03429,0.0657462,1
21,0,0,2.09329,0,0.8,1.19566,1.56637,0.0657462,1
22,0,0,2.70634,0,0.8,1.22737,2.15384,0.0657462,1
23,0,0,3.37773,0,0.8,1.26,2.79931,0.0657462,1
24,0,0,4.11011,0,0.8,1.2936,3.50541,0.0657462,1
25,0,0,4.90614,0,0.8,1.32822,4.27478,0.0657462,1
26,0,0,5.76846,0,0.8,1.36392,5.11003,0.0657462,1
27,0,0,6.69974,0,0.8,1.40073,6.01382,0.0657462,1
28,0,0,7.70262,0,0.8,1.43871,6.98875,0.0657462,1
29,0,0,8.77976,0,0.8,1.47791,8.03745,0.0657462,1
30,0,0,9.9338,0,0.8,1.51838,9.16257,0.0657462,1
31,0,0,11.1674,0,0.8,1.56017,10.3667,0.0657462,1
32,0,0,12.4832,0,0.8,1.60333,11.6525,0.0657462,1
33,0,0,13.8839,0,0.8,1.64792,13.0226,0.0657462,1
34,0,0,15.3721,0,0.8,1.69398,14.4796,0.0657462,1
