m_val,a_val,z_val,mass
-2,0,0.8,8.79282e-09
-2,0.0657462,0.8,9.08209e-07
-1.99956,0.0657462,0.8,3.14634e-08
-1.99646,0.0657462,0.8,1.49093e-08
-1.98807,0.0657462,0.8,4.36577e-08
-1.97171,0.0657462,0.8,5.09694e-08
-1.94475,0.0657462,0.8,6.04179e-08
-1.90453,0.0657462,0.8,7.25461e-08
-1.8484,0.0657462,0.8,8.82893e-08
-1.7737,0.0657462,0.8,9.02989e-08
-1.67779,0.0657462,0.8,1.01331e-07
-1.55801,0.0657462,0.8,1.08157e-07
-1.41171,0.0657462,0.8,1.07146e-07
-1.23624,0.0657462,0.8,9.69534e-08
-1.02894,0.0657462,0.8,8.53196e-08
-0.787172,0.0657462,0.8,6.84367e-08
-0.508275,0.0657462,0.8,4.78484e-08
-0.189598,0.0657462,0.8,2.67116e-08
0.17151,0.0657462,0.8,9.71663e-09
-2,0.262985,0.8,0.0152167
-1.99956,0.262985,0.8,0.000617124
-1.99646,0.262985,0.8,0.000250538
-1.98807,0.262985,0.8,0.000823098
-1.97171,0.262985,0.8,0.000964069
-1.94475,0.262985,0.8,0.00114131
-1.90453,0.262985,0.8,0.00138782
-1.8484,0.262985,0.8,0.00168321
-1.7737,0.262985,0.8,0.00182332
-1.67779,0.262985,0.8,0.00204145
-1.55801,0.262985,0.8,0.00218731
-1.41171,0.262985,0.8,0.00216707
-1.23624,0.262985,0.8,0.00200338
-1.02894,0.262985,0.8,0.00179257
-0.787172,0.262985,0.8,0.00146869
-0.508275,0.262985,0.8,0.00105635
-0.189598,0.262985,0.8,0.000615659
0.17151,0.262985,0.8,0.000239704
0.577701,0.262985,0.8,1.85507e-05
-2,0.591716,0.8,0.00508198
-1.99956,0.591716,0.8,0.000208434
-1.99646,0.591716,0.8,8.11397e-05
-1.98807,0.591716,0.8,0.00027509
-1.97171,0.591716,0.8,0.000321749
-1.94475,0.591716,0.8,0.000380578
-1.90453,0.591716,0.8,0.000462947
-1.8484,0.591716,0.8,0.000561119
-1.7737,0.591716,0.8,0.000608011
-1.67779,0.591716,0.8,0.000680414
-1.55801,0.591716,0.8,0.00072875
-1.41171,0.591716,0.8,0.000722439
