t,dr_m,dY,dC,dC_direct,dC_indirect
0,0.01,-0.0032288,-0.0032288,-0.00266086,-0.000567934
1,0.008,-0.00409579,-0.00409579,-0.00313921,-0.000956571
2,0.0064,-0.00463084,-0.00463084,-0.00331238,-0.00131846
3,0.00512,-0.0049448,-0.0049448,-0.00329797,-0.00164682
4,0.004096,-0.00511897,-0.00511897,-0.00317708,-0.00194189
5,0.0032768,-0.00520277,-0.00520277,-0.00299787,-0.0022049
6,0.00262144,-0.00524143,-0.00524143,-0.00279935,-0.00244208
7,0.00209715,-0.0052536,-0.0052536,-0.00259689,-0.00265672
8,0.00167772,-0.00523967,-0.00523967,-0.00239166,-0.00284801
9,0.00134218,-0.0052077,-0.0052077,-0.00219057,-0.00301713
10,0.00107374,-0.00516432,-0.00516432,-0.00199864,-0.00316568
11,0.000858993,-0.00511398,-0.00511398,-0.00181861,-0.00329537
12,0.000687195,-0.00505932,-0.00505932,-0.00165154,-0.00340778
13,0.000549756,-0.00500203,-0.00500203,-0.00149761,-0.00350443
14,0.000439805,-0.00494321,-0.00494321,-0.00135647,-0.00358674
15,0.000351844,-0.00488359,-0.00488359,-0.00122754,-0.00365604
16,0.000281475,-0.0048237,-0.0048237,-0.00111011,-0.00371359
17,0.00022518,-0.00476393,-0.00476393,-0.00100338,-0.00376056
18,0.000180144,-0.00470456,-0.00470456,-0.000906561,-0.003798
19,0.000144115,-0.00464578,-0.00464578,-0.00081886,-0.00382692
20,0.000115292,-0.0045877,-0.0045877,-0.000739506,-0.00384819
21,9.22337e-05,-0.00453041,-0.00453041,-0.00066777,-0.00386264
22,7.3787e-05,-0.00447397,-0.00447397,-0.000602965,-0.003871
23,5.90296e-05,-0.00441838,-0.00441838,-0.000544451,-0.00387393
24,4.72237e-05,-0.00436365,-0.00436365,-0.000491637,-0.00387202
25,3.77789e-05,-0.00430978,-0.00430978,-0.00044398,-0.0038658
26,3.02231e-05,-0.00425676,-0.00425676,-0.000400984,-0.00385577
27,2.41785e-05,-0.00420455,-0.00420455,-0.000362195,-0.00384235
28,1.93428e-05,-0.00415314,-0.00415314,-0.000327202,-0.00382593
29,1.54743e-05,-0.0041025,-0.0041025,-0.000295634,-0.00380686
30,1.23794e-05,-0.00405261,-0.00405261,-0.000267152,-0.00378546
31,9.90352e-06,-0.00400345,-0.00400345,-0.000241452,-0.003762
32,7.92282e-06,-0.00395499,-0.00395499,-0.000218259,-0.00373673
33,6.33825e-06,-0.00390721,-0.00390721,-0.000197325,-0.00370988
34,5.0706e-06,-0.00386009,-0.00386009,-0.000178427,-0.00368166
35,4.05648e-06,-0.00381361,-0.00381361,-0.000161364,-0.00365224
36,3.24519e-06,-0.00376775,-0.00376775,-0.000145955,-0.0036218
37,2.59615e-06,-0.0037225,-0.0037225,-0.000132036,-0.00359047
38,2.07692e-06,-0.00367785,-0.00367785,-0.000119462,-0.00355838
39,1.66153e-06,-0.00363377,-0.00363377,-0.0001081,-0.00352567
40,1.32923e-06,-0.00359025,-0.00359025,-9.78318e-05,-0.00349242
41,1.06338e-06,-0.00354729,-0.00354729,-8.85498e-05,-0.00345874
