m_val,a_val,dC_dr
-2,0,0
-1.99956,0,0
-1.99646,0,0
-1.98807,0,0
-1.97171,0,-0.0110764
-1.94475,0,-0.0104188
-1.90453,0,-0.00705713
-1.8484,0,-0.00612084
-1.7737,0,-0.00471241
-1.67779,0,-0.00384507
-1.55801,0,-0.00307828
-1.41171,0,-0.00245443
-1.23624,0,-0.00169778
-1.02894,0,-0.00129711
-0.787172,0,-0.000940921
-0.508275,0,-0.000617155
-0.189598,0,-0.000330026
0.17151,0,-5.8883e-05
0.577701,0,0.00020055
1.03163,0,0.000491301
1.53594,0,0.000702437
2.09329,0,0.000945491
2.70634,0,0.00118741
3.37773,0,0.00143025
4.11011,0,0.0016758
4.90614,0,0.0019256
5.76846,0,0.00218107
6.69974,0,0.00244345
7.70262,0,0.00271388
8.77976,0,0.0029934
9.9338,0,0.00328297
11.1674,0,0.00358351
12.4832,0,0.00389586
13.8839,0,0.00422084
15.3721,0,0.00455922
16.9504,0,0.00491177
18.6216,0,0.0052792
20.3883,0,0.00566222
22.253,0,0.00606155
24.2186,0,0.00647786
26.2875,0,0.00691183
28.4626,0,0.00736413
30.7464,0,0.00783542
33.1415,0,0.00832637
35.6507,0,0.00883762
38.2766,0,0.00936982
41.0218,0,0.00992364
43.889,0,0.0104997
46.8809,0,0.0110987
50,0,0.0117211
-2,0.0657462,0
-1.99956,0.0657462,0
-1.99646,0.0657462,0
-1.98807,0.0657462,0
-1.97171,0.0657462,-0.011075
-1.94475,0.0657462,-0.0104224
-1.90453,0.0657462,-0.00705659
-1.8484,0.0657462,-0.00612275
-1.7737,0.0657462,-0.0047123
-1.67779,0.0657462,-0.00384578
-1.55801,0.0657462,-0.00301564
-1.41171,0.0657462,-0.00243186
-1.23624,0.0657462,-0.00169706
-1.02894,0.0657462,-0.00130148
-0.787172,0.0657462,-0.000949554
-0.508275,0.0657462,-0.000630429
-0.189598,0.0657462,-0.000335931
0.17151,0.0657462,-5.97545e-05
0.577701,0.0657462,0.00020292
1.03163,0.0657462,0.000455859
1.53594,0.0657462,0.000702438
2.09329,0.0657462,0.000945489
2.70634,0.0657462,0.00118741
3.37773,0.0657462,0.00143024
4.11011,0.0657462,0.00167578
4.90614,0.0657462,0.00192559
5.76846,0.0657462,0.00218105
6.69974,0.0657462,0.00244343
7.70262,0.0657462,0.00271385
8.77976,0.0657462,0.00299336
9.9338,0.0657462,0.00328293
11.1674,0.0657462,0.00358347
12.4832,0.0657462,0.00389581
13.8839,0.0657462,0.00422079
15.3721,0.0657462,0.00455917
16.9504,0.0657462,0.00491171
18.6216,0.0657462,0.00527914
20.3883,0.0657462,0.00566217
22.253,0.0657462,0.00606149
24.2186,0.0657462,0.0064778
26.2875,0.0657462,0.00691177
28.4626,0.0657462,0.00736406
30.7464,0.0657462,0.00783536
33.1415,0.0657462,0.0083263
35.6507,0.0657462,0.00883755
38.2766,0.0657462,0.00936976
41.0218,0.0657462,0.00992357
43.889,0.0657462,0.0104996
46.8809,0.0657462,0.0110986
50,0.0657462,0.0117211
-2,0.262985,0
-1.99956,0.262985,0
-1.99646,0.262985,0
-1.98807,0.262985,0
-1.97171,0.262985,-0.0110749
-1.94475,0.262985,-0.0104589
-1.90453,0.262985,-0.00706198
-1.8484,0.262985,-0.00614548
-1.7737,0.262985,-0.0047238
-1.67779,0.262985,-0.00385874
-1.55801,0.262985,-0.0030891
-1.41171,0.262985,-0.00246428
