time,top10,bottom50,debtors,aggregate
0,-0.000364411,-0.00216982,-0.00170449,-0.0032288
1,-0.000394784,-0.00187831,-0.00150107,-0.00409579
2,-0.000408262,-0.00163018,-0.00132393,-0.00463084
3,-0.000411256,-0.00142093,-0.00117185,-0.0049448
4,-0.000408397,-0.00124628,-0.00104319,-0.00511897
5,-0.000402319,-0.00110133,-0.000935216,-0.00520277
6,-0.000395519,-0.000982693,-0.000846254,-0.00524143
7,-0.000388799,-0.000886021,-0.000773382,-0.0052536
8,-0.000381807,-0.000806453,-0.000712932,-0.00523967
9,-0.000374792,-0.000740838,-0.00066268,-0.0052077
10,-0.000367965,-0.000686669,-0.00062086,-0.00516432
11,-0.000361436,-0.000641862,-0.000585983,-0.00511398
12,-0.000355231,-0.000604661,-0.000556773,-0.00505932
13,-0.000349341,-0.000573623,-0.000532174,-0.00500203
14,-0.000343743,-0.000547569,-0.000511313,-0.00494321
15,-0.000338406,-0.000525543,-0.000493483,-0.00488359
16,-0.000333305,-0.000506775,-0.000478111,-0.0048237
17,-0.000328415,-0.000490643,-0.000464736,-0.00476393
18,-0.000323714,-0.000476649,-0.000452985,-0.00470456
19,-0.000319182,-0.000464391,-0.000442558,-0.00464578
20,-0.000314803,-0.000453544,-0.000433213,-0.0045877
21,-0.000310561,-0.000443847,-0.000424753,-0.00453041
22,-0.000306442,-0.00043509,-0.00041702,-0.00447397
23,-0.000302435,-0.000427102,-0.000409886,-0.00441838
24,-0.00029853,-0.000419745,-0.000403246,-0.00436365
25,-0.000294717,-0.00041291,-0.000397018,-0.00430978
26,-0.000290988,-0.000406507,-0.000391132,-0.00425676
27,-0.000287338,-0.000400462,-0.000385535,-0.00420455
28,-0.000283759,-0.000394719,-0.00038018,-0.00415314
29,-0.000280247,-0.000389228,-0.000375032,-0.0041025
30,-0.000276797,-0.000383953,-0.000370061,-0.00405261
31,-0.000273406,-0.000378861,-0.000365244,-0.00400345
32,-0.000270069,-0.000373928,-0.00036056,-0.00395499
33,-0.000266785,-0.000369133,-0.000355994,-0.00390721
34,-0.000263551,-0.000364459,-0.000351533,-0.00386009
35,-0.000260364,-0.000359892,-0.000347165,-0.00381361
36,-0.000257222,-0.000355423,-0.000342883,-0.00376775
37,-0.000254124,-0.00035104,-0.000338679,-0.0037225
38,-0.000251068,-0.000346738,-0.000334548,-0.00367785
39,-0.000248054,-0.00034251,-0.000330483,-0.00363377
40,-0.000245079,-0.00033835,-0.000326481,-0.00359025
41,-0.000242142,-0.000334254,-0.000322539,-0.00354729
42,-0.000239244,-0.000330219,-0.000318654,-0.00350486
43,-0.000236382,-0.000326243,-0.000314822,-0.00346297
