asset,z_idx,consumption,next_asset,distribution
0.001,0,0.44324,0.001,0.00036282
0.00605035,0,0.448356,0.001,1.10288e-05
0.0212014,0,0.463125,0.00158092,1.85587e-05
0.0464532,0,0.475971,0.0143186,1.95337e-05
0.0818056,0,0.490348,0.0357578,2.04348e-05
0.127259,0,0.504619,0.0675377,2.10563e-05
0.182813,0,0.51926,0.109179,2.16516e-05
0.248467,0,0.534044,0.160912,2.21927e-05
0.324223,0,0.549025,0.222682,2.27006e-05
0.410079,0,0.564162,0.294527,2.31771e-05
0.506035,0,0.579459,0.376447,2.36335e-05
0.612093,0,0.594904,0.468453,2.40783e-05
0.728251,0,0.610492,0.570548,2.45172e-05
0.85451,0,0.626219,0.682738,2.49555e-05
0.990869,0,0.642079,0.805028,2.53985e-05
1.13733,0,0.658068,0.937421,2.58509e-05
1.29389,0,0.674184,1.07992,2.63154e-05
1.46055,0,0.690421,1.23254,2.67943e-05
1.63731,0,0.706776,1.39526,2.72849e-05
1.82418,0,0.723246,1.56811,2.77935e-05
2.02114,0,0.739828,1.75108,2.83386e-05
2.22821,0,0.756519,1.94417,2.88999e-05
2.44537,0,0.773316,2.14739,2.94683e-05
2.67264,0,0.790215,2.36074,3.00426e-05
2.91,0,0.807215,2.58423,3.06218e-05
3.15747,0,0.824312,2.81784,3.12056e-05
3.41504,0,0.841504,3.0616,3.17936e-05
3.68271,0,0.858789,3.3155,3.23855e-05
3.96048,0,0.876165,3.57954,3.29814e-05
4.24835,0,0.893629,3.85373,3.35814e-05
4.54632,0,0.911178,4.13806,3.41853e-05
4.85439,0,0.928812,4.43254,3.4793e-05
5.17256,0,0.946529,4.73718,3.54043e-05
5.50083,0,0.964325,5.05197,3.60193e-05
5.83921,0,0.982201,5.37691,3.66377e-05
6.18768,0,1.00015,5.712,3.72595e-05
6.54626,0,1.01818,6.05726,3.78848e-05
6.91493,0,1.03628,6.41267,3.85134e-05
7.29371,0,1.05446,6.77825,3.91455e-05
7.68259,0,1.0727,7.15399,3.97811e-05
8.08156,0,1.09102,7.53989,4.04204e-05
8.49064,0,1.1094,7.93595,4.10635e-05
8.90982,0,1.12786,8.34218,4.17109e-05
9.3391,0,1.14638,8.75858,4.23629e-05
9.77848,0,1.16496,9.18515,4.30201e-05
10.228,0,1.18361,9.62188,4.36827e-05
10.6875,0,1.20232,10.0688,4.43506e-05
11.1572,0,1.2211,10.5259,4.5024e-05
11.637,0,1.23993,10.9931,4.57029e-05
12.1269,0,1.25883,11.4705,4.63873e-05
12.6269,0,1.27779,11.9581,4.70771e-05
13.137,0,1.29681,12.4559,4.77724e-05
13.6572,0,1.31589,12.9638,4.84732e-05
14.1874,0,1.33503,13.4819,4.91794e-05
14.7278,0,1.35423,14.0102,4.98909e-05
15.2783,0,1.37348,14.5487,5.06078e-05
15.8389,0,1.39279,15.0973,5.13299e-05
16.4096,0,1.41216,15.6561,5.20571e-05
16.9904,0,1.43159,16.2251,5.27894e-05
17.5813,0,1.45107,16.8043,5.35268e-05
18.1823,0,1.47061,17.3936,5.42691e-05
18.7934,0,1.4902,17.9932,5.50163e-05
19.4146,0,1.50985,18.6029,5.57683e-05
20.0458,0,1.52956,19.2227,5.6525e-05
20.6872,0,1.54932,19.8528,5.72863e-05
21.3387,0,1.56914,20.493,5.80521e-05
22.0003,0,1.58901,21.1434,5.88224e-05
22.672,0,1.60893,21.804,5.9597e-05
23.3538,0,1.62892,22.4748,6.03757e-05
24.0457,0,1.64895,23.1557,6.11585e-05
24.7477,0,1.66905,23.8469,6.19452e-05
25.4598,0,1.68919,24.5482,6.27358e-05
26.182,0,1.70939,25.2596,6.353e-05
26.9143,0,1.72965,25.9813,6.43278e-05
27.6567,0,1.74997,26.7131,6.51289e-05
28.4092,0,1.77033,27.4552,6.59334e-05
29.1718,0,1.79076,28.2074,6.67411e-05
29.9445,0,1.81124,28.9697,6.75518e-05
30.7273,0,1.83177,29.7423,6.83655e-05
31.5202,0,1.85237,30.525,6.9182e-05
32.3233,0,1.87302,31.3179,7.00014e-05
33.1364,0,1.89372,32.121,7.08237e-05
33.9596,0,1.91448,32.9342,7.16487e-05
34.7929,0,1.9353,33.7577,7.24765e-05
35.6363,0,1.95618,34.5913,7.3307e-05
36.4898,0,1.97711,35.4351,7.41401e-05
37.3534,0,1.9981,36.289,7.49756e-05
38.2271,0,2.01915,37.1531,7.58135e-05
39.1109,0,2.04026,38.0275,7.66537e-05
40.0048,0,2.06143,38.9119,7.74961e-05
40.9089,0,2.08265,39.8066,7.83405e-05
41.823,0,2.10394,40.7114,7.91869e-05
42.7472,0,2.12528,41.6264,8.00352e-05
43.6815,0,2.14669,42.5516,8.08854e-05
44.6259,0,2.16815,43.487,8.17374e-05
45.5804,0,2.18968,44.4325,8.25913e-05
46.545,0,2.21127,45.3882,8.34472e-05
47.5198,0,2.23292,46.354,8.43051e-05
48.5046,0,2.25463,47.3301,8.51654e-05
49.4995,0,2.2764,48.3163,8.60285e-05
50.5045,0,2.29823,49.3127,8.68948e-05
51.5196,0,2.32013,50.3192,8.77651e-05
52.5449,0,2.3421,51.336,8.8639e-05
53.5802,0,2.36412,52.3628,8.95151e-05
54.6256,0,2.38621,53.3999,9.03927e-05
55.6811,0,2.40837,54.4471,9.12717e-05
56.7468,0,2.43059,55.5045,9.21519e-05
57.8225,0,2.45287,56.5721,9.30331e-05
