period,dZ,dr
0,0,-0.00641986
1,0,-0.00216494
2,0,0.00216905
3,0,0.00671418
4,0,0.01144
5,0,0.0162925
6,0,0.0211956
7,0,0.0260527
8,0,0.0307484
9,0,0.0351504
10,0,0.0391123
11,0,0.0424763
12,0,0.0450772
13,0,0.0467457
14,0,0.047314
15,0,0.0466204
16,0,0.0445148
17,0,0.0408655
18,0,0.0355646
19,0,0.0285351
20,0,0.0197371
21,0,0.00917437
22,0,-0.0031002
23,0,-0.0169787
24,0,-0.032294
25,0,-0.048816
26,0,-0.0662494
27,0,-0.0842331
28,0,-0.102341
29,0,-0.120085
30,0,-0.136921
31,0,-0.152253
32,0,-0.165448
33,0,-0.175845
34,0,-0.182768
35,0,-0.185547
36,0,-0.183535
37,0,-0.17613
38,0,-0.162797
39,0,-0.143092
40,0,-0.11669
41,0,-0.0834071
42,0,-0.0432241
43,0,0.00368629
44,0,0.0569409
45,0,0.115927
46,0,0.179787
47,0,0.247412
48,0,0.317432
49,0,0.388225
50,0,0.457924
51,0,0.524434
52,0,0.585464
53,0,0.638559
54,0,0.681147
55,0,0.710598
56,0,0.724286
57,0,0.719661
58,0,0.694336
59,0,0.646173
60,0,0.573375
61,0,0.474587
62,0,0.348991
63,0,0.196404
64,0,0.0173715
65,0,-0.18675
66,0,-0.413718
67,0,-0.660345
68,0,-0.922455
69,0,-1.19487
70,0,-1.47141
71,0,-1.74493
72,0,-2.00739
73,0,-2.24996
74,0,-2.46314
75,0,-2.63694
76,0,-2.76111
77,0,-2.82536
78,0,-2.81967
79,0,-2.73459
80,0,-2.56157
81,0,-2.29336
82,0,-1.92436
83,0,-1.45098
84,0,-0.872098
85,0,-0.189343
86,0,0.592523
87,0,1.46532
88,0,2.41722
89,0,3.43254
90,0,4.49171
91,0,5.5712
92,0,6.64373
93,0,7.67843
94,0,8.64126
95,0,9.49549
96,0,10.2024
97,0,10.722
98,0,11.0141
99,0,11.0392
100,0,10.76
101,0,10.1425
102,0,9.15735
103,0,7.78149
104,0,5.99959
105,0,3.80553
106,0,1.20384
107,0,-1.78897
108,0,-5.1432
109,0,-8.81502
110,0,-12.7457
111,0,-16.8612
112,0,-21.0723
113,0,-25.2746
114,0,-29.3497
115,0,-33.1666
116,0,-36.5835
117,0,-39.4499
118,0,-41.6104
119,0,-42.9078
120,0,-43.1871
121,0,-42.3008
122,0,-40.1134
123,0,-36.507
124,0,-31.3871
125,0,-24.6885
126,0,-16.381
127,0,-6.47504
128,0,4.9728
129,0,17.8553
130,0,32.0104
131,0,47.2185
132,0,63.2001
133,0,79.6162
134,0,96.0686
135,0,112.104
136,0,127.217
137,0,140.861
138,0,152.452
139,0,161.386
140,0,167.049
141,0,168.832
142,0,166.154
143,0,158.475
144,0,145.322
145,0,126.31
146,0,101.164
147,0,69.7415
148,0,32.0561
149,0,-11.7021
150,0,-61.1478
151,0,-115.684
152,0,-174.49
153,0,-236.513
154,0,-300.466
155,0,-364.832
156,0,-427.871
157,0,-487.645
158,0,-542.038
159,0,-588.795
160,0,-625.562
161,0,-649.941
162,0,-659.55
163,0,-652.092
164,0,-625.428
165,0,-577.663
166,0,-507.228
167,0,-412.971
168,0,-294.247
169,0,-151.003
170,0,16.1369
171,0,205.797
172,0,415.786
173,0,643.041
174,0,883.6
175,0,1132.59
176,0,1384.21
177,0,1631.83
178,0,1867.98
179,0,2084.51
180,0,2272.67
181,0,2423.34
182,0,2527.15
183,0,2574.77
184,0,2557.15
185,0,2465.81
186,0,2293.18
187,0,2032.88
188,0,1680.14
189,0,1232.07
190,0,688.08
191,0,50.1415
192,0,-676.868
193,0,-1484.92
194,0,-2362.63
195,0,-3295.08
196,0,-4263.83
197,0,-5246.83
198,0,-6218.64
199,0,-7150.64
