period,dZ,dr
0,0.01,-5.60891e-06
1,0.009,-5.04802e-06
2,0.0081,-4.54322e-06
3,0.00729,-4.0889e-06
4,0.006561,-3.68001e-06
5,0.0059049,-3.31201e-06
6,0.00531441,-2.98081e-06
7,0.00478297,-2.68273e-06
8,0.00430467,-2.41445e-06
9,0.0038742,-2.17301e-06
10,0.00348678,-1.95571e-06
11,0.00313811,-1.76014e-06
12,0.0028243,-1.58412e-06
13,0.00254187,-1.42571e-06
14,0.00228768,-1.28314e-06
15,0.00205891,-1.15483e-06
16,0.00185302,-1.03934e-06
17,0.00166772,-9.35408e-07
18,0.00150095,-8.41868e-07
19,0.00135085,-7.57681e-07
20,0.00121577,-6.81913e-07
21,0.00109419,-6.13721e-07
22,0.000984771,-5.52349e-07
23,0.000886294,-4.97114e-07
24,0.000797664,-4.47403e-07
25,0.000717898,-4.02663e-07
26,0.000646108,-3.62396e-07
27,0.000581497,-3.26157e-07
28,0.000523348,-2.93541e-07
29,0.000471013,-2.64187e-07
30,0.000423912,-2.37768e-07
31,0.00038152,-2.13991e-07
32,0.000343368,-1.92592e-07
33,0.000309032,-1.73333e-07
34,0.000278128,-1.56e-07
35,0.000250316,-1.404e-07
36,0.000225284,-1.2636e-07
37,0.000202756,-1.13724e-07
38,0.00018248,-1.02351e-07
39,0.000164232,-9.21163e-08
40,0.000147809,-8.29047e-08
41,0.000133028,-7.46142e-08
42,0.000119725,-6.71528e-08
43,0.000107753,-6.04375e-08
44,9.69774e-05,-5.43938e-08
45,8.72796e-05,-4.89544e-08
46,7.85517e-05,-4.40589e-08
47,7.06965e-05,-3.9653e-08
48,6.36269e-05,-3.56877e-08
49,5.72642e-05,-3.2119e-08
50,5.15378e-05,-2.89071e-08
51,4.6384e-05,-2.60164e-08
52,4.17456e-05,-2.34147e-08
53,3.7571e-05,-2.10733e-08
54,3.38139e-05,-1.89659e-08
55,3.04325e-05,-1.70693e-08
56,2.73893e-05,-1.53624e-08
57,2.46503e-05,-1.38262e-08
58,2.21853e-05,-1.24435e-08
59,1.99668e-05,-1.11992e-08
60,1.79701e-05,-1.00793e-08
61,1.61731e-05,-9.07135e-09
62,1.45558e-05,-8.16421e-09
63,1.31002e-05,-7.34779e-09
64,1.17902e-05,-6.61301e-09
65,1.06112e-05,-5.95171e-09
66,9.55005e-06,-5.35654e-09
67,8.59504e-06,-4.82088e-09
68,7.73554e-06,-4.3388e-09
69,6.96199e-06,-3.90492e-09
70,6.26579e-06,-3.51442e-09
71,5.63921e-06,-3.16298e-09
72,5.07529e-06,-2.84668e-09
73,4.56776e-06,-2.56202e-09
74,4.11098e-06,-2.30581e-09
75,3.69988e-06,-2.07523e-09
76,3.3299e-06,-1.86771e-09
77,2.99691e-06,-1.68094e-09
78,2.69722e-06,-1.51284e-09
79,2.42749e-06,-1.36156e-09
80,2.18475e-06,-1.2254e-09
81,1.96627e-06,-1.10286e-09
82,1.76964e-06,-9.92577e-10
83,1.59268e-06,-8.9332e-10
84,1.43341e-06,-8.03988e-10
85,1.29007e-06,-7.23589e-10
86,1.16106e-06,-6.5123e-10
87,1.04496e-06,-5.86107e-10
88,9.40461e-07,-5.27496e-10
89,8.46415e-07,-4.74747e-10
90,7.61773e-07,-4.27272e-10
91,6.85596e-07,-3.84545e-10
92,6.17037e-07,-3.4609e-10
93,5.55333e-07,-3.11481e-10
94,4.998e-07,-2.80333e-10
95,4.4982e-07,-2.523e-10
