period,dZ,dr
0,0.01,-5.60891e-06
1,0.009,-4.65147e-06
2,0.0081,-3.87891e-06
3,0.00729,-3.21473e-06
4,0.006561,-2.64018e-06
5,0.0059049,-2.14219e-06
6,0.00531441,-1.71069e-06
7,0.00478297,-1.3374e-06
8,0.00430467,-1.0152e-06
9,0.0038742,-7.37936e-07
10,0.00348678,-5.00147e-07
11,0.00313811,-2.97038e-07
12,0.0028243,-1.24363e-07
13,0.00254187,2.16391e-08
14,0.00228768,1.44296e-07
15,0.00205891,2.46553e-07
16,0.00185302,3.31014e-07
17,0.00166772,3.99983e-07
18,0.00150095,4.55492e-07
19,0.00135085,4.99336e-07
20,0.00121577,5.33098e-07
21,0.00109419,5.58172e-07
22,0.000984771,5.75785e-07
23,0.000886294,5.87016e-07
24,0.000797664,5.92811e-07
25,0.000717898,5.94001e-07
26,0.000646108,5.91312e-07
27,0.000581497,5.85379e-07
28,0.000523348,5.7676e-07
29,0.000471013,5.65937e-07
30,0.000423912,5.53331e-07
31,0.00038152,5.39305e-07
32,0.000343368,5.24176e-07
33,0.000309032,5.08215e-07
34,0.000278128,4.91654e-07
35,0.000250316,4.74696e-07
36,0.000225284,4.57509e-07
37,0.000202756,4.40239e-07
38,0.00018248,4.23008e-07
39,0.000164232,4.05919e-07
40,0.000147809,3.89056e-07
41,0.000133028,3.72488e-07
42,0.000119725,3.56274e-07
43,0.000107753,3.40458e-07
44,9.69774e-05,3.25077e-07
45,8.72796e-05,3.10156e-07
46,7.85517e-05,2.95716e-07
47,7.06965e-05,2.81771e-07
48,6.36269e-05,2.68329e-07
49,5.72642e-05,2.55393e-07
50,5.15378e-05,2.42964e-07
51,4.6384e-05,2.31037e-07
52,4.17456e-05,2.19608e-07
53,3.7571e-05,2.08667e-07
54,3.38139e-05,1.98205e-07
55,3.04325e-05,1.88211e-07
56,2.73893e-05,1.7867e-07
57,2.46503e-05,1.69572e-07
58,2.21853e-05,1.609e-07
59,1.99668e-05,1.5264e-07
60,1.79701e-05,1.44778e-07
61,1.61731e-05,1.37299e-07
62,1.45558e-05,1.30187e-07
63,1.31002e-05,1.23427e-07
64,1.17902e-05,1.17006e-07
65,1.06112e-05,1.10908e-07
66,9.55005e-06,1.05118e-07
67,8.59504e-06,9.96239e-08
68,7.73554e-06,9.44111e-08
69,6.96199e-06,8.94666e-08
70,6.26579e-06,8.47776e-08
71,5.63921e-06,8.0332e-08
72,5.07529e-06,7.61177e-08
73,4.56776e-06,7.21234e-08
74,4.11098e-06,6.83382e-08
75,3.69988e-06,6.47515e-08
76,3.3299e-06,6.13532e-08
77,2.99691e-06,5.81338e-08
78,2.69722e-06,5.50839e-08
79,2.42749e-06,5.21949e-08
80,2.18475e-06,4.94583e-08
81,1.96627e-06,4.68662e-08
82,1.76964e-06,4.4411e-08
83,1.59268e-06,4.20854e-08
84,1.43341e-06,3.98825e-08
85,1.29007e-06,3.77959e-08
86,1.16106e-06,3.58193e-08
87,1.04496e-06,3.39469e-08
88,9.40461e-07,3.2173e-08
89,8.46415e-07,3.04924e-08
90,7.61773e-07,2.89001e-08
91,6.85596e-07,2.73912e-08
92,6.17037e-07,2.59614e-08
93,5.55333e-07,2.46063e-08
94,4.998e-07,2.33219e-08
95,4.4982e-07,2.21045e-08
96,4.04838e-07,2.09503e-08
97,3.64354e-07,1.98559e-08
98,3.27919e-07,1.88183e-08
99,2.95127e-07,1.78342e-08
100,2.65614e-07,1.69008e-08
101,2.39053e-07,1.60154e-08
102,2.15147e-07,1.51755e-08
103,1.93633e-07,1.43784e-08
104,1.74269e-07,1.36221e-08
105,1.56842e-07,1.29042e-08
106,1.41158e-07,1.22228e-08
107,1.27042e-07,1.15758e-08
108,1.14338e-07,1.09616e-08
109,1.02904e-07,1.03782e-08
110,9.26139e-08,9.82413e-09
111,8.33525e-08,9.29781e-09
112,7.50172e-08,8.79777e-09
113,6.75155e-08,8.32264e-09
114,6.0764e-08,7.8711e-09
115,5.46876e-08,7.44193e-09
116,4.92188e-08,7.03396e-09
117,4.42969e-08,6.6461e-09
118,3.98672e-08,6.2773e-09
119,3.58805e-08,5.92658e-09
120,3.22925e-08,5.59302e-09
121,2.90632e-08,5.27574e-09
122,2.61569e-08,4.9739e-09
123,2.35412e-08,4.68672e-09
124,2.11871e-08,4.41347e-09
125,1.90684e-08,4.15344e-09
126,1.71615e-08,3.90596e-09
127,1.54454e-08,3.67042e-09
128,1.39008e-08,3.44621e-09
129,1.25108e-08,3.23277e-09
130,1.12597e-08,3.02958e-09
131,1.01337e-08,2.83613e-09
132,9.12034e-09,2.65195e-09
133,8.20831e-09,2.47658e-09
134,7.38748e-09,2.30959e-09
135,6.64873e-09,2.15059e-09
136,5.98386e-09,1.99918e-09
137,5.38547e-09,1.85502e-09
138,4.84693e-09,1.71774e-09
139,4.36223e-09,1.58703e-09
140,3.92601e-09,1.46258e-09
141,3.53341e-09,1.34409e-09
142,3.18007e-09,1.23129e-09
143,2.86206e-09,1.1239e-09
144,2.57585e-09,1.02169e-09
145,2.31827e-09,9.24411e-10
146,2.08644e-09,8.31839e-10
147,1.8778e-09,7.43761e-10
148,1.69002e-09,6.59971e-10
149,1.52102e-09,5.80277e-10
150,1.36891e-09,5.04495e-10
151,1.23202e-09,4.3245e-10
152,1.10882e-09,3.63975e-10
153,9.97939e-10,2.98913e-10
154,8.98145e-10,2.37113e-10
155,8.0833e-10,1.78432e-10
156,7.27497e-10,1.22733e-10
157,6.54748e-10,6.98871e-11
158,5.89273e-10,1.97696e-11
159,5.30346e-10,-2.77369e-11
160,4.77311e-10,-7.27449e-11
161,4.2958e-10,-1.15361e-10
162,3.86622e-10,-1.55689e-10
163,3.4796e-10,-1.93824e-10
164,3.13164e-10,-2.29861e-10
165,2.81847e-10,-2.63888e-10
166,2.53663e-10,-2.9599e-10
167,2.28296e-10,-3.26248e-10
168,2.05467e-10,-3.54739e-10
169,1.8492e-10,-3.81538e-10
170,1.66428e-10,-4.06715e-10
171,1.49785e-10,-4.30338e-10
172,1.34807e-10,-4.52472e-10
173,1.21326e-10,-4.73179e-10
174,1.09193e-10,-4.92518e-10
175,9.82741e-11,-5.10547e-10
176,8.84467e-11,-5.27319e-10
177,7.9602e-11,-5.42887e-10
178,7.16418e-11,-5.57302e-10
179,6.44776e-11,-5.70611e-10
180,5.80299e-11,-5.8286e-10
181,5.22269e-11,-5.94094e-10
182,4.70042e-11,-6.04355e-10
183,4.23038e-11,-6.13685e-10
184,3.80734e-11,-6.22122e-10
185,3.42661e-11,-6.29705e-10
186,3.08395e-11,-6.36468e-10
187,2.77555e-11,-6.42449e-10
188,2.498e-11,-6.47679e-10
189,2.2482e-11,-6.52192e-10
190,2.02338e-11,-6.56018e-10
191,1.82104e-11,-6.59188e-10
192,1.63894e-11,-6.61731e-10
193,1.47504e-11,-6.63673e-10
194,1.32754e-11,-6.65043e-10
195,1.19478e-11,-6.65866e-10
196,1.07531e-11,-6.66167e-10
197,9.67775e-12,-6.65969e-10
198,8.70997e-12,-6.65298e-10
199,7.83898e-12,-6.64173e-10
