period,dY,dC,dN,dw,dpi,di,dreal_r,dB,dT
0,-2.02778e-06,-2.02778e-06,-2.02778e-06,-2.49885e-06,-9.56498e-07,0.00249809,0.00249885,0.00124973,-3.04167e-07
1,-1.62222e-06,-1.62222e-06,-1.62222e-06,-1.99908e-06,-7.65199e-07,0.00199847,0.00199908,0.00227451,-2.43333e-07
2,-1.29778e-06,-1.29778e-06,-1.29778e-06,-1.59927e-06,-6.12159e-07,0.00159878,0.00159927,0.00311983,-1.94667e-07
3,-1.03822e-06,-1.03822e-06,-1.03822e-06,-1.27941e-06,-4.89727e-07,0.00127902,0.00127941,0.00382209,-1.55733e-07
4,-8.30577e-07,-8.30577e-07,-8.30577e-07,-1.02353e-06,-3.91782e-07,0.00102322,0.00102353,0.00441042,-1.24587e-07
5,-6.64462e-07,-6.64462e-07,-6.64462e-07,-8.18824e-07,-3.13425e-07,0.000818573,0.000818824,0.00490814,-9.96693e-08
6,-5.31569e-07,-5.31569e-07,-5.31569e-07,-6.55059e-07,-2.5074e-07,0.000654859,0.000655059,0.00533391,-7.97354e-08
7,-4.25256e-07,-4.25256e-07,-4.25256e-07,-5.24047e-07,-2.00592e-07,0.000523887,0.000524047,0.00570267,-6.37883e-08
8,-3.40204e-07,-3.40204e-07,-3.40204e-07,-4.19238e-07,-1.60474e-07,0.000419109,0.000419238,0.0060264,-5.10307e-08
9,-2.72164e-07,-2.72164e-07,-2.72164e-07,-3.3539e-07,-1.28379e-07,0.000335288,0.00033539,0.00631466,-4.08245e-08
10,-2.17731e-07,-2.17731e-07,-2.17731e-07,-2.68312e-07,-1.02703e-07,0.00026823,0.000268312,0.00657514,-3.26596e-08
11,-1.74185e-07,-1.74185e-07,-1.74185e-07,-2.1465e-07,-8.21626e-08,0.000214584,0.00021465,0.006814,-2.61277e-08
12,-1.39348e-07,-1.39348e-07,-1.39348e-07,-1.7172e-07,-6.57301e-08,0.000171667,0.00017172,0.00703616,-2.09022e-08
13,-1.11478e-07,-1.11478e-07,-1.11478e-07,-1.37376e-07,-5.25841e-08,0.000137334,0.000137376,0.00724559,-1.67217e-08
14,-8.91826e-08,-8.91826e-08,-8.91826e-08,-1.09901e-07,-4.20672e-08,0.000109867,0.000109901,0.00744546,-1.33774e-08
15,-7.13461e-08,-7.13461e-08,-7.13461e-08,-8.79205e-08,-3.36538e-08,8.78936e-05,8.79205e-05,0.00763834,-1.07019e-08
